Type;Action;View;Record_name;Value;Alias Target/MX preferance;New_Record;New Value
CNAME;Create;common;_dmarc.ciscopress.com;_dmarc.ciscopress_com._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.collegeplus.org;_dmarc.collegeplus_org._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.cti.co.za;_dmarc.cti_co_za._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.ecpa.fr;_dmarc.ecpa_fr._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.edexcel.com;_dmarc.edexcel_com._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.edexcel.org.uk;_dmarc.edexcel_org_uk._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.ediplc.com;_dmarc.ediplc_com._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.Lumerit.com;_dmarc.Lumerit_com._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.mathology.ca;_dmarc.mathology_ca._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.microsoftpressstore.com;_dmarc.microsoftpressstore_com._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.pearson.ch;_dmarc.pearson_ch._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.pearson.com;_dmarc.pearson_com._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.pearson.de;_dmarc.pearson_de._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.pearson.it;_dmarc.pearson_it._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.pearson.vc;_dmarc.pearson_vc._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.pearsonacademy.com.au;_dmarc.pearsonacademy_com_au._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.pearsonactivelearn.com;_dmarc.pearsonactivelearn_com._d.easydmarc.pro.;;;
CNAME;Create;common;_dmarc.pearsoncanada.com;_dmarc.pearsoncanada_com._d.easydmarc.pro.;;;
