Type;Action;View;Record_name;Value;Alias Target/MX preferance;New_Record;New Value
TXT;delete;common;_dmarc.pearson.com;"v=DMARC1;p=none;rua=mailto:dmarc_rua@pearson.com;ruf=mailto:dmarc_ruf@pearson.com;fo=1;";;;
TXT;delete;common;_dmarc.pearson.de;"v=DMARC1; p=none; fo=1; rua=mailto:dmarc-aggregate@pearson.de,mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com";;;
TXT;delete;common;_dmarc.pearsonclinical.asia;"v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@pearsonclinical.asia;ruf=mailto:dmarc_ruf@pearsonclinical.asia";;;
TXT;delete;common;_dmarc.pearsoned.com;"v=DMARC1; p=quarantine; fo=1; rua=mailto:dmarc_rua@pearsoncmg.com,mailto:dmarc_rua@pearson.com,mailto:bb264152e6@rua.easydmarc.us;ruf=mailto:dmarc_ruf@peaerson.com,mailto:bb264152e6@ruf.easydmarc.us;  rf=afrf; pct=1";;;
TXT;delete;common;_dmarc.eu.pearson.com;"v=DMARC1; p=reject; pct=100;";;;
TXT;delete;common;_dmarc.feedback.pearson.com;"v=DMARC1; p=quarantine; rua=mailto:dmarc_rua@feedback.pearson.com,mailto:dmarc_rua@pearson.com; ruf=mailto:dmarc_ruf@feedback.pearson.com,mailto:dmarc_ruf@pearson.com; fo=1;";;;
TXT;delete;common;_dmarc.marketing.pearson.com;"v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@marketing.pearson.com;ruf=mailto:dmarc_ruf@marketing.pearson.com";;;
TXT;delete;common;_dmarc.marketing.pearson.com;"v=DMARC1; p=reject; pct=100;";;;
TXT;delete;common;_dmarc.learn.pearson.com;"v=DMARC1; p=none; rua=mailto:dmarc_rua@learn.pearson.com,mailto:dmarc_rua@pearson.com;  ruf=mailto:dmarc_ruf@learn.pearson.com; fo=1;";;;
TXT;delete;common;_dmarc.notifications.pearson.com;"v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@notifications.pearson.com;ruf=mailto:dmarc_ruf@notifications.pearson.com";;;
TXT;delete;common;_dmarc.ocrm10.pearson.com;"v=DMARC1; p=reject; pct=100;";;;
