Type;Action;View;Record_name;Value;Alias Target/MX preferance;New_Record;New Value
TXT;Delete;common;_dmarc.advancedacademics.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.alabamaconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.alaskaconnectionsacademy.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.alaskaconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.arizonaconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.arizonaconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.askpearsonsupport.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.brooklyncityprep.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.btec.mobi;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.btechnd.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.btecworks.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.bublcareers.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.ca.zone;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.cacluborange.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.caconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.cadev.zone;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.californiacareeracademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.californiaconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.capistranoconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.caquizbowl.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.careersfocus.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.ca-schools.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.catest.zone;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.catholiclearningonline.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.catholiclearningonline.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.catholiconlinelearning.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.catholiconlinelearning.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.catholicvip.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.catholicvs.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.catholicvs.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.cbsenext.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.ccacharter.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.ccacharterschool.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.ccacharterschool.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.ccacyber.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.ccacyberschool.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.ccacyberschool.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.ccacyberschool.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.ccaonlineschool.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.ccavirtual.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.ccavirtual.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.ccavirtualschool.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.ccavirtualschool.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.centralcaliforniaconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.centralcaliforniaconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.certifyyourfuture.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.certiport.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.childrenspicturedictionary.com;"v=DMARC1; p=quarantine";;;
TXT;Delete;common;_dmarc.clinicalassessment.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.cluborangecorner.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.coastalconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.coastalconnectionsacademy.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.collegeplus.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.coloradoconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.coloradoconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.commonwealthconnectionsacademy.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.commonwealthconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.commonwealthcyberacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.commonwealthcyberacademy.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.commonwealthcyberacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connacad.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connecticutconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionacademies.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionsacademies.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionsacademy.biz;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionsacademy.cn;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionsacademy.com.cn;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionsacademy.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionsacademydev.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionsacademylearning.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionsacademytest.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionscourses.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionscourses.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionseducation.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionsfusion.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionsfusion.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionslearning.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionslearningfusion.org;"v=DMARC1; p=reject";;;
