Type;Action;View;Record_name;Value;Alias Target/MX preferance;New_Record;New Value
TXT;Create;common;alamogordovirtualschool.info;v=spf1 -all;;;
TXT;Create;common;always-learning.com;v=spf1 -all;;;
TXT;Create;common;always-learning.info;v=spf1 -all;;;
TXT;Create;common;aspenfalls.org;v=spf1 -all;;;
TXT;Create;common;deltacharteronline.org;v=spf1 -all;;;
TXT;Create;common;educationasaservice.com;v=spf1 -all;;;
TXT;Create;common;everychildlearning.com;v=spf1 -all;;;
TXT;Create;common;faethm.app;v=spf1 -all;;;
TXT;Create;common;faethm.ventures;v=spf1 -all;;;
TXT;Create;common;indiacan.org;v=spf1 -all;;;
TXT;Create;common;k12report.com;v=spf1 -all;;;
TXT;Create;common;learnwithpearson.com;v=spf1 -all;;;
TXT;Create;common;mi-css.com;v=spf1 -all;;;
TXT;Create;common;myfreesummerschool.org;v=spf1 -all;;;
TXT;Create;common;myirlab.org;v=spf1 -all;;;
TXT;Create;common;nevadaonlineschoolnetwork.info;v=spf1 -all;;;
TXT;Create;common;newworldcharterschool.net;v=spf1 -all;;;
TXT;Create;common;newworldonlineschool.net;v=spf1 -all;;;
TXT;Create;common;oklahomavirtualhighschool.net;v=spf1 -all;;;
TXT;Create;common;onlineacademics.com;v=spf1 -all;;;
TXT;Create;common;online-assessment.org;v=spf1 -all;;;
TXT;Create;common;onlinehighschoolbenefits.com;v=spf1 -all;;;
TXT;Create;common;onlinehighschoolsolutions.com;v=spf1 -all;;;
TXT;Create;common;orbitsenglish.com;v=spf1 -all;;;
TXT;Create;common;pearson.academy;v=spf1 -all;;;
TXT;Create;common;pearson.school;v=spf1 -all;;;
TXT;Create;common;pearson.wiki;v=spf1 -all;;;
TXT;Create;common;pearsonlearningservices.com;v=spf1 -all;;;
TXT;Create;common;pearson-mylab.com;v=spf1 -all;;;
TXT;Create;common;pearsononlineacademy.org;v=spf1 -all;;;
TXT;Create;common;pearsonqualificationsgateway.com;v=spf1 -all;;;
TXT;Create;common;pearson-qualifications-gateway.com;v=spf1 -all;;;
TXT;Create;common;pearsonshadow.com;v=spf1 -all;;;
TXT;Create;common;pearsonshop.com;v=spf1 -all;;;
TXT;Create;common;pearsontst.tech;v=spf1 -all;;;
TXT;Create;common;project-literacy.com;v=spf1 -all;;;
TXT;Create;common;projectliteracy.org;v=spf1 -all;;;
TXT;Create;common;reachcybercharterschoolpa.net;v=spf1 -all;;;
TXT;Create;common;reachcyberschool.com;v=spf1 -all;;;
TXT;Create;common;reachcyberschoolpa.com;v=spf1 -all;;;
TXT;Create;common;reachcyberschoolpa.net;v=spf1 -all;;;
TXT;Create;common;socalonlineschool.net;v=spf1 -all;;;
TXT;Create;common;superseek.com;v=spf1 -all;;;
TXT;Create;common;visionacademywyoming.org;v=spf1 -all;;;
TXT;Create;common;washingtonvirtualhighschool.org;v=spf1 -all;;;
TXT;Create;common;wechsleradultintelligencescale.com;v=spf1 -all;;;
