Type;Action;View;Record_name;Value;Alias Target/MX preferance;New_Record_UPDATE;New Value_UPDATE
TXT;Create;common;alerts.pearsontc.com;v=spf1 -all;;;
TXT;Create;common;awl.co.uk;v=spf1 -all;;;
TXT;Create;common;bksu.co.uk;v=spf1 -all;;;
TXT;Create;common;bradybooks.com;v=spf1 -all;;;
TXT;Create;common;catalis.com;v=spf1 -all;;;
TXT;Create;common;cdmcareerzone.com;v=spf1 -all;;;
TXT;Create;common;communicationsdegreesguide.org;v=spf1 -all;;;
TXT;Create;common;computersciencedegreeguides.org;v=spf1 -all;;;
TXT;Create;common;criminaljusticedegreeguides.com;v=spf1 -all;;;
TXT;Create;common;criminaljusticedegreeguides.org;v=spf1 -all;;;
TXT;Create;common;developers-library.info;v=spf1 -all;;;
TXT;Create;common;directdgree.org;v=spf1 -all;;;
TXT;Create;common;dnpprogramguides.org;v=spf1 -all;;;
TXT;Create;common;earlylearner.com;v=spf1 -all;;;
TXT;Create;common;earlylearner.net;v=spf1 -all;;;
TXT;Create;common;edexcel.co.uk;v=spf1 -all;;;
TXT;Create;common;educationdegreesguide.com;v=spf1 -all;;;
TXT;Create;common;educationdegreesguide.org;v=spf1 -all;;;
TXT;Create;common;edustructures.com;v=spf1 -all;;;
TXT;Create;common;escapestudios.tv;v=spf1 -all;;;
TXT;Create;common;executivembaguide.org;v=spf1 -all;;;
TXT;Create;common;executivembaprogramguides.com;v=spf1 -all;;;
TXT;Create;common;familynursepractitionerprogram.org;v=spf1 -all;;;
TXT;Create;common;familynursepractitionerprogramguides.com;v=spf1 -all;;;
TXT;Create;common;familynursepractitionerprogramguides.org;v=spf1 -all;;;
TXT;Create;common;getarealdegree.net;v=spf1 -all;;;
TXT;Create;common;getarealdegree.org;v=spf1 -all;;;
TXT;Create;common;getarealdegreeonline.info;v=spf1 -all;;;
TXT;Create;common;getarealdegreeonline.org;v=spf1 -all;;;
TXT;Create;common;globalenglish.com;v=spf1 -all;;;
TXT;Create;common;harcourtassessment.co.uk;v=spf1 -all;;;
TXT;Create;common;harcourt-au.com;v=spf1 -all;;;
TXT;Create;common;harcourtsecondary.com;v=spf1 -all;;;
TXT;Create;common;healthcareadministrationdegreeguides.org;v=spf1 -all;;;
TXT;Create;common;healthcarembaguides.com;v=spf1 -all;;;
TXT;Create;common;heinemann.co.za;v=spf1 -all;;;
TXT;Create;common;hq.globalenglish.com;v=spf1 -all;;;
TXT;Create;common;informationsystemsdegreeguides.org;v=spf1 -all;;;
TXT;Create;common;informationtechnologydegreeguides.org;v=spf1 -all;;;
TXT;Create;common;journalismdegreeguides.com;v=spf1 -all;;;
TXT;Create;common;k12planet.com;v=spf1 -all;;;
TXT;Create;common;lcci.org.uk;v=spf1 -all;;;
TXT;Create;common;londonenterprisefestival.com;v=spf1 -all;;;
TXT;Create;common;longman.co.zm;v=spf1 -all;;;
TXT;Create;common;longman.co.zw;v=spf1 -all;;;
TXT;Create;common;longman.com;v=spf1 -all;;;
TXT;Create;common;longman.hu;v=spf1 -all;;;
TXT;Create;common;lovetolearn.co.uk;v=spf1 -all;;;
TXT;Create;common;lsatindia.in;v=spf1 -all;;;
TXT;Create;common;marketingdegreeguides.com;v=spf1 -all;;;
TXT;Create;common;maryvilleedd.com;v=spf1 -all;;;
TXT;Create;common;maryvillenursing.org;v=spf1 -all;;;
TXT;Create;common;masterinhealthadministration.com;v=spf1 -all;;;
TXT;Create;common;masteroflibraryscienceguides.org;v=spf1 -all;;;
TXT;Create;common;mastersinaccountingguides.org;v=spf1 -all;;;
TXT;Create;common;mastersincommunicationsguides.org;v=spf1 -all;;;
TXT;Create;common;mastersincriminaljusticeguides.org;v=spf1 -all;;;
TXT;Create;common;mastersineducationdegreesguide.com;v=spf1 -all;;;
TXT;Create;common;mastersineducationdegreesguide.org;v=spf1 -all;;;
TXT;Create;common;mastersinpublichealthguides.com;v=spf1 -all;;;
TXT;Create;common;mastersinpublichealthguides.org;v=spf1 -all;;;
TXT;Create;common;mastersinsocialworkguides.org;v=spf1 -all;;;
TXT;Create;common;mbadegreeonlineguides.org;v=spf1 -all;;;
TXT;Create;common;military2university.com;v=spf1 -all;;;
TXT;Create;common;moschampionship.com;v=spf1 -all;;;
TXT;Create;common;msimdegree.com;v=spf1 -all;;;
TXT;Create;common;nestest.com;v=spf1 -all;;;
TXT;Create;common;neumastersinfinance.com;v=spf1 -all;;;
TXT;Create;common;northeasterndegrees.com;v=spf1 -all;;;
TXT;Create;common;nursepractitionerschoolguides.net;v=spf1 -all;;;
TXT;Create;common;oneyearmbaguides.org;v=spf1 -all;;;
TXT;Create;common;onlinecriminaljusticemasters.com;v=spf1 -all;;;
TXT;Create;common;onlinembadegreeguides.com;v=spf1 -all;;;
TXT;Create;common;onlinembanogmatguides.com;v=spf1 -all;;;
TXT;Create;common;onlinembaprogramguides.org;v=spf1 -all;;;
TXT;Create;common;onlineprogramsohio.info;v=spf1 -all;;;
TXT;Create;common;onlineregismha.org;v=spf1 -all;;;
TXT;Create;common;onlineregisnursing.org;v=spf1 -all;;;
TXT;Create;common;ounceonline.com;v=spf1 -all;;;
TXT;Create;common;parentskidsandtesting.com;v=spf1 -all;;;
TXT;Create;common;pearsn.com;v=spf1 -all;;;
TXT;Create;common;pearsonbroadband.com;v=spf1 -all;;;
TXT;Create;common;pearsonca.com;v=spf1 -all;;;
TXT;Create;common;pearsonclinical.fr;v=spf1 -all;;;
TXT;Create;common;pearsoncls.com;v=spf1 -all;;;
TXT;Create;common;pearsondigital.com;v=spf1 -all;;;
TXT;Create;common;pearsonearlylearning.com;v=spf1 -all;;;
TXT;Create;common;pearsonedu.com;v=spf1 -all;;;
TXT;Create;common;pearsoneducation.com;v=spf1 -all;;;
TXT;Create;common;pearsonelt.at;v=spf1 -all;;;
TXT;Create;common;pearsonmylabandmastering.com;v=spf1 -all;;;
TXT;Create;common;pearsonplc.com;v=spf1 -all;;;
TXT;Create;common;pearsonptr.com;v=spf1 -all;;;
TXT;Create;common;pearson-studium.de;v=spf1 -all;;;
TXT;Create;common;pearsontc.net;v=spf1 -all;;;
TXT;Create;common;peroot.com;v=spf1 -all;;;
TXT;Create;common;peterhoney.co.uk;v=spf1 -all;;;
TXT;Create;common;peterhoney.com;v=spf1 -all;;;
TXT;Create;common;projectmanagementdegreeguides.com;v=spf1 -all;;;
TXT;Create;common;projectmanagementdegreeguides.org;v=spf1 -all;;;
TXT;Create;common;Promissor.com;v=spf1 -all;;;
TXT;Create;common;pteacademic.com;v=spf1 -all;;;
TXT;Create;common;publicadmindegrees.com;v=spf1 -all;;;
TXT;Create;common;publicrelationsdegreeguides.org;v=spf1 -all;;;
TXT;Create;common;realcity.dk.com;v=spf1 -all;;;
TXT;Create;common;regisonlinemph.org;v=spf1 -all;;;
TXT;Create;common;rntomsnguides.com;v=spf1 -all;;;
